,Acculynk (Acquired by First Data),Aeris Secure,Axiado,AllClear ID,Cybereason,Accolade Technology,BeyondTrust,Advanced Technology Group (ATG-NYC),Darktrace,DeepView,CyberMDX,Active Navigation,CNS – Cyber Security Specialists,AVG (Acquired by Avast),A-LIGN,ADF Solutions,Awareness Technologies,Avatier,AvePoint,Avow Security,Balabit (Acquired by One Identity),CYFOR Secure,Allure Security Technology,Encedo,"AvTek Solutions, Inc.",Cybersift,Banyan Security,"Alchemy Security, LLC",Auconet,Beyond Identity,DataGlobal,context information (Acquired by Babcock),Binary Defense,Device Authority,CybeReady,Envelop Risk Analytics,baffle,Allegro Software,Adobe,Egress,Axonius,AlertLogic,Barricade IT Security,Actifile Ltd.,Barracuda,Altitude Networks,CNS,ABD Technology Inc,CyberSmart,ECSC,DigitalXRAID Ltd,AuthenWare,Balbix,Bitdefender,Aligned Technology Solutions,Auth0,Aura,Bitglass,Abira Security,4A Security & Compliance,AaDya Security,ACI Solutions,Biscom,Comtact Ltd.,Data Shepherd,Crypta Labs,CSL DualCom,6Wind,Avanan,Agio,Cypaw,1Kosmos – BlockID,Alt-N Technologies (Acquired by BlackBerry),Absolute,360 Cyber Secure,crossword,Cossack Labs,Cyanre,CyNation,Attivo Networks,Accellion,Cyberfit,ActZero.ai,CYSIAM,e2e-assure ltd,ENTERSEKT,Aware,BinarySec,Axio Global,Beachhead Security,Accurics,Abnormal Security,Allgress,Active Cypher,Accertify,CyberX,Axiad IDS,CybSafe,AUTHEN2CATE,Awake Security,Deep Secure,Beyond Security,Axis Security,Avaria Networks,AlienVault – AT&T,Automox,Codified Security,Akamai Technologies,AIS,Comis,Authoriti Network,Axway,14 Nine,ECS Consulting,Agari,CYREN,Alert Cyber,Agile1,CNS Group,Algosec,Bastille,CyberOwl,Encode UK Limited,Cybertonica Ltd.,Allot Communications,bettercloud,exonar,"CyberArk Software, Inc.",Acalvio Technologies,AfGlobe Communications – ACI Solutions,Bayshore,"Advanced Network Systems, Inc.","BIO-key International, Inc.",AHA Products Group,A10 Networks,CyberQ Group,Axiom Cyber Solutions,Authentic8,Clearswift (Acquired by RUAG),AuthLite,AccessData Group,Cyberseer,Bandura,Elemendar,Corax Cyber Security,eXate,Abacode Cybersecurity & Compliance,"BARR Advisory, P.A.",SCORE
CyberArk,86.87,78.46,95.65,100.0,90.97,100.0,95.98,78.46,83.73,85.42,87.24,90.87,78.46,83.26,78.46,80.53,80.53,92.78,90.87,78.46,92.34,78.46,80.53,91.35,78.46,80.6,80.6,78.46,80.53,92.37,91.35,80.53,78.46,95.02,78.46,78.46,91.35,91.35,91.35,100.0,83.73,90.59,78.46,92.63,92.41,81.76,87.24,78.46,86.87,78.46,78.46,92.35,87.24,89.55,78.46,92.37,88.77,86.74,78.46,78.46,89.55,100.0,91.35,78.46,90.99,90.6,80.6,80.6,90.35,78.46,80.53,92.37,80.6,90.6,78.46,86.87,91.35,89.39,80.6,85.17,90.87,78.46,89.1,78.46,78.46,92.35,91.35,100.0,86.87,90.6,82.57,80.6,85.42,81.9,80.53,83.73,92.37,78.46,100.0,85.17,88.81,87.35,95.14,78.46,80.53,90.11,80.53,95.22,78.46,78.46,100.0,94.17,78.46,78.46,80.6,88.58,78.46,78.46,78.46,78.46,80.6,100.0,83.73,100.0,83.26,87.74,100.0,94.17,80.53,83.73,86.87,78.46,92.37,91.35,87.05,78.46,78.46,80.6,92.88,92.37,80.53,78.46,83.73,80.53,85.42,82.57,78.46,78.46,5.392857142857144
Nitromia,75.89,66.47,89.28,100.0,78.22,100.0,85.39,66.47,69.23,69.58,72.63,81.84,66.47,73.06,66.47,64.32,64.32,83.31,81.84,66.47,79.15,66.47,64.32,85.96,66.47,72.16,72.16,66.47,64.32,85.68,85.96,64.32,66.47,87.83,66.47,66.47,85.96,85.96,85.96,100.0,69.23,77.89,66.47,82.46,88.78,73.51,72.63,66.47,75.89,66.47,66.47,80.04,72.63,77.46,66.47,85.68,72.08,70.92,66.47,66.47,77.46,100.0,85.96,66.47,84.43,83.19,72.16,72.16,77.55,66.47,64.32,85.68,72.16,83.19,66.47,75.89,85.96,76.04,72.16,67.83,81.84,66.47,75.32,66.47,66.47,80.04,85.96,100.0,75.89,83.19,67.83,72.16,69.58,69.06,64.32,69.23,85.68,66.47,100.0,67.83,76.85,74.2,85.54,66.47,64.32,76.27,64.32,88.4,66.47,66.47,100.0,82.38,66.47,66.47,72.16,74.2,66.47,66.47,66.47,66.47,72.16,100.0,69.23,100.0,73.06,76.58,100.0,82.38,64.32,69.23,75.89,66.47,85.68,85.96,77.85,66.47,66.47,72.16,82.36,85.68,64.32,66.47,69.23,64.32,69.58,67.83,66.47,66.47,2.217391304347826
Matchbox Streaming,75.69,62.54,86.01,100.0,76.99,100.0,82.75,62.54,68.38,65.74,70.77,78.03,62.54,76.35,62.54,60.89,60.89,79.65,78.03,62.54,75.62,62.54,60.89,82.7,62.54,75.17,75.17,62.54,60.89,82.61,82.7,60.89,62.54,87.03,62.54,62.54,82.7,82.7,82.7,100.0,68.38,75.52,62.54,79.3,88.08,71.51,70.77,62.54,75.69,62.54,62.54,78.26,70.77,77.68,62.54,82.61,68.64,68.08,62.54,62.54,77.68,100.0,82.7,62.54,85.07,81.05,75.17,75.17,74.33,62.54,60.89,82.61,75.17,81.05,62.54,75.69,82.7,71.98,75.17,64.95,78.03,62.54,72.7,62.54,62.54,78.26,82.7,100.0,75.69,81.05,64.5,75.17,65.74,68.6,60.89,68.38,82.61,62.54,100.0,64.95,75.28,70.19,83.27,62.54,60.89,72.95,60.89,87.43,62.54,62.54,100.0,78.46,62.54,62.54,75.17,73.54,62.54,62.54,62.54,62.54,75.17,100.0,68.38,100.0,76.35,73.3,100.0,78.46,60.89,68.38,75.69,62.54,82.61,82.7,80.27,62.54,62.54,75.17,79.68,82.61,60.89,62.54,68.38,60.89,65.74,64.5,62.54,62.54,7.6521739130434785
GlobeKeeper,84.97,72.77,94.33,100.0,90.01,100.0,94.47,72.77,83.47,81.63,85.29,87.1,72.77,82.62,72.77,78.06,78.06,89.68,87.1,72.77,90.36,72.77,78.06,89.71,72.77,82.21,82.21,72.77,78.06,91.4,89.71,78.06,72.77,94.47,72.77,72.77,89.71,89.71,89.71,100.0,83.47,89.29,72.77,87.83,94.39,78.35,85.29,72.77,84.97,72.77,72.77,91.79,85.29,86.46,72.77,91.4,84.13,83.11,72.77,72.77,86.46,100.0,89.71,72.77,90.46,87.12,82.21,82.21,87.53,72.77,78.06,91.4,82.21,87.12,72.77,84.97,89.71,86.29,82.21,81.48,87.1,72.77,82.5,72.77,72.77,91.79,89.71,100.0,84.97,87.12,80.03,82.21,81.63,75.7,78.06,83.47,91.4,72.77,100.0,81.48,88.77,85.95,92.05,72.77,78.06,87.3,78.06,94.81,72.77,72.77,100.0,91.62,72.77,72.77,82.21,87.08,72.77,72.77,72.77,72.77,82.21,100.0,83.47,100.0,82.62,82.72,100.0,91.62,78.06,83.47,84.97,72.77,91.4,89.71,86.02,72.77,72.77,82.21,91.74,91.4,78.06,72.77,83.47,78.06,81.63,80.03,72.77,72.77,6.321428571428572
Votiro Cybersec,76.69,64.1,90.74,100.0,86.81,100.0,89.43,64.1,78.54,75.75,78.9,81.42,64.1,77.86,64.1,74.16,74.16,83.19,81.42,64.1,85.97,64.1,74.16,87.31,64.1,75.53,75.53,64.1,74.16,87.12,87.31,74.16,64.1,90.76,64.1,64.1,87.31,87.31,87.31,100.0,78.54,82.63,64.1,83.22,89.43,75.74,78.9,64.1,76.69,64.1,64.1,86.82,78.9,79.37,64.1,87.12,78.93,80.92,64.1,64.1,79.37,100.0,87.31,64.1,88.42,86.2,75.53,75.53,86.05,64.1,74.16,87.12,75.53,86.2,64.1,76.69,87.31,81.53,75.53,78.45,81.42,64.1,75.92,64.1,64.1,86.82,87.31,100.0,76.69,86.2,77.09,75.53,75.75,73.11,74.16,78.54,87.12,64.1,100.0,78.45,84.93,81.2,88.11,64.1,74.16,85.19,74.16,90.35,64.1,64.1,100.0,86.81,64.1,64.1,75.53,83.72,64.1,64.1,64.1,64.1,75.53,100.0,78.54,100.0,77.86,76.42,100.0,86.81,74.16,78.54,76.69,64.1,87.12,87.31,82.72,64.1,64.1,75.53,86.71,87.12,74.16,64.1,78.54,74.16,75.75,77.09,64.1,64.1,5.9642857142857135
Argon Security,87.43,79.55,93.19,100.0,88.28,100.0,93.67,79.55,82.56,83.55,86.7,90.52,79.55,78.12,79.55,77.36,77.36,91.38,90.52,79.55,89.01,79.55,77.36,89.78,79.55,80.61,80.61,79.55,77.36,89.4,89.78,77.36,79.55,91.99,79.55,79.55,89.78,89.78,89.78,100.0,82.56,89.7,79.55,89.09,92.52,78.64,86.7,79.55,87.43,79.55,79.55,90.4,86.7,86.82,79.55,89.4,84.56,81.31,79.55,79.55,86.82,100.0,89.78,79.55,88.75,84.07,80.61,80.61,86.45,79.55,77.36,89.4,80.61,84.07,79.55,87.43,89.78,88.29,80.61,78.82,90.52,79.55,83.46,79.55,79.55,90.4,89.78,100.0,87.43,84.07,80.0,80.61,83.55,69.43,77.36,82.56,89.4,79.55,100.0,78.82,88.4,84.02,88.22,79.55,77.36,85.58,77.36,91.55,79.55,79.55,100.0,92.42,79.55,79.55,80.61,85.27,79.55,79.55,79.55,79.55,80.61,100.0,82.56,100.0,78.12,86.71,100.0,92.42,77.36,82.56,87.43,79.55,89.4,89.78,83.02,79.55,79.55,80.61,92.65,89.4,77.36,79.55,82.56,77.36,83.55,80.0,79.55,79.55,4.571428571428573
Comsec,88.36,81.39,93.28,100.0,89.49,100.0,95.14,81.39,85.3,87.37,89.33,91.42,81.39,77.52,81.39,81.8,81.8,92.29,91.42,81.39,91.87,81.39,81.8,89.75,81.39,80.63,80.63,81.39,81.8,89.57,89.75,81.8,81.39,91.1,81.39,81.39,89.75,89.75,89.75,100.0,85.3,92.74,81.39,89.55,92.62,78.99,89.33,81.39,88.36,81.39,81.39,92.29,89.33,87.31,81.39,89.57,87.99,83.95,81.39,81.39,87.31,100.0,89.75,81.39,86.38,83.43,80.63,80.63,87.85,81.39,81.8,89.57,80.63,83.43,81.39,88.36,89.75,90.89,80.63,82.68,91.42,81.39,85.42,81.39,81.39,92.29,89.75,100.0,88.36,83.43,83.11,80.63,87.37,71.08,81.8,85.3,89.57,81.39,100.0,82.68,89.94,88.84,88.99,81.39,81.8,87.86,81.8,91.55,81.39,81.39,100.0,94.35,81.39,81.39,80.63,86.71,81.39,81.39,81.39,81.39,80.63,100.0,85.3,100.0,77.52,87.94,100.0,94.35,81.8,85.3,88.36,81.39,89.57,89.75,81.3,81.39,81.39,80.63,94.22,89.57,81.8,81.39,85.3,81.8,87.37,83.11,81.39,81.39,5.478260869565218
Crusoe Security,77.73,65.29,87.87,100.0,81.7,100.0,86.94,65.29,72.92,70.73,75.04,79.52,65.29,80.58,65.29,66.52,66.52,82.77,79.52,65.29,80.52,65.29,66.52,82.91,65.29,76.29,76.29,65.29,66.52,85.65,82.91,66.52,65.29,89.84,65.29,65.29,82.91,82.91,82.91,100.0,72.92,79.85,65.29,82.72,88.97,72.31,75.04,65.29,77.73,65.29,65.29,82.48,75.04,81.65,65.29,85.65,75.01,74.45,65.29,65.29,81.65,100.0,82.91,65.29,86.82,84.5,76.29,76.29,79.15,65.29,66.52,85.65,76.29,84.5,65.29,77.73,82.91,75.88,76.29,72.44,79.52,65.29,77.93,65.29,65.29,82.48,82.91,100.0,77.73,84.5,69.17,76.29,70.73,75.65,66.52,72.92,85.65,65.29,100.0,72.44,78.67,75.77,88.1,65.29,66.52,78.57,66.52,90.8,65.29,65.29,100.0,82.26,65.29,65.29,76.29,78.83,65.29,65.29,65.29,65.29,76.29,100.0,72.92,100.0,80.58,75.28,100.0,82.26,66.52,72.92,77.73,65.29,85.65,82.91,83.4,65.29,65.29,76.29,82.81,85.65,66.52,65.29,72.92,66.52,70.73,69.17,65.29,65.29,5.608695652173914
Varonis Systems,82.0,76.38,88.78,100.0,85.1,100.0,90.55,76.38,78.33,80.97,82.53,86.34,76.38,75.85,76.38,75.33,75.33,87.48,86.34,76.38,85.94,76.38,75.33,85.2,76.38,74.11,74.11,76.38,75.33,85.42,85.2,75.33,76.38,87.95,76.38,76.38,85.2,85.2,85.2,100.0,78.33,86.32,76.38,87.34,87.6,75.24,82.53,76.38,82.0,76.38,76.38,86.0,82.53,83.89,76.38,85.42,83.66,80.77,76.38,76.38,83.89,100.0,85.2,76.38,84.56,83.62,74.11,74.11,84.65,76.38,75.33,85.42,74.11,83.62,76.38,82.0,85.2,84.91,74.11,79.09,86.34,76.38,83.51,76.38,76.38,86.0,85.2,100.0,82.0,83.62,77.4,74.11,80.97,73.34,75.33,78.33,85.42,76.38,100.0,79.09,83.5,82.85,87.04,76.38,75.33,84.3,75.33,88.73,76.38,76.38,100.0,88.7,76.38,76.38,74.11,82.55,76.38,76.38,76.38,76.38,74.11,100.0,78.33,100.0,75.85,83.12,100.0,88.7,75.33,78.33,82.0,76.38,85.42,85.2,79.92,76.38,76.38,74.11,88.55,85.42,75.33,76.38,78.33,75.33,80.97,77.4,76.38,76.38,5.392857142857144
ARMO,77.98,68.15,89.98,100.0,82.06,100.0,88.86,68.15,72.3,71.68,75.46,82.51,68.15,77.6,68.15,66.42,66.42,84.96,82.51,68.15,81.12,68.15,66.42,85.66,68.15,74.28,74.28,68.15,66.42,87.12,85.66,66.42,68.15,90.59,68.15,68.15,85.66,85.66,85.66,100.0,72.3,81.48,68.15,84.76,92.04,74.69,75.46,68.15,77.98,68.15,68.15,82.65,75.46,81.12,68.15,87.12,75.37,75.08,68.15,68.15,81.12,100.0,85.66,68.15,88.52,85.64,74.28,74.28,81.16,68.15,66.42,87.12,74.28,85.64,68.15,77.98,85.66,77.98,74.28,71.57,82.51,68.15,78.04,68.15,68.15,82.65,85.66,100.0,77.98,85.64,70.54,74.28,71.68,72.41,66.42,72.3,87.12,68.15,100.0,71.57,79.6,77.6,87.84,68.15,66.42,79.5,66.42,92.61,68.15,68.15,100.0,84.24,68.15,68.15,74.28,78.89,68.15,68.15,68.15,68.15,74.28,100.0,72.3,100.0,77.6,78.16,100.0,84.24,66.42,72.3,77.98,68.15,87.12,85.66,82.96,68.15,68.15,74.28,85.89,87.12,66.42,68.15,72.3,66.42,71.68,70.54,68.15,68.15,5.571428571428572
