,SCORE
CyberArk,5.392857142857143
Nitromia,2.217391304347826
Matchbox Streaming,7.652173913043479
GlobeKeeper,6.321428571428573
Votiro Cybersec,5.964285714285714
Argon Security,4.571428571428572
Comsec,5.478260869565218
Crusoe Security,5.608695652173914
Varonis Systems,5.392857142857143
ARMO,5.571428571428572
Komodo Consulting,5.82608695652174
BigID,7.214285714285714
enSilo,7.750000000000002
CyberNite,3.086956521739131
Cympire,5.695652173913044
InnoSec,5.678571428571429
SNDBOX,5.0
Kameleon Security,3.0714285714285716
Hysolate,7.500000000000001
Aurora Labs,5.214285714285714
Nyotron,5.964285714285714
High Sec Labs,5.82608695652174
AI-PREDATOR,2.6521739130434785
Enc.AI,2.5652173913043477
L1ght,3.5714285714285716
Wise-Mon,5.82608695652174
At-Bay,7.214285714285714
Cyber 2.0,5.964285714285714
Iris Shield,4.391304347826088
Syber.ai,5.0
Findings,5.571428571428572
Kape Technologies,5.478260869565218
Cyber Observer,6.25
Cyber Innovative Technologies,5.571428571428572
Hunters,7.000000000000001
Cyberbit,4.821428571428572
Wiz,3.714285714285715
infiniDome,7.214285714285714
Be Strategic Solutions,5.0
GuardKnox,6.071428571428572
Cynomi,3.086956521739131
Celare Cyber Systems,7.652173913043479
AtmoSec,2.0434782608695654
Salt Security,5.964285714285714
Check Point Software Technologies,5.478260869565218
VeeWear,3.173913043478261
TripleCyber,7.464285714285715
Merlinx,5.913043478260871
CyberX,7.750000000000002
Ayehu Software Technologies,6.25
Rescana,5.608695652173914
IOT Armor Dome,1.6086956521739129
Sabres Security,4.086956521739131
Centraleyes,6.071428571428572
Cyolo,6.214285714285715
GYTpol,2.5652173913043477
CardinalOps,4.000000000000001
SenseCy,7.652173913043479
Sasa Software,8.000000000000002
Reflectiz,7.214285714285714
Lightspin,5.142857142857144
QPrivacy,5.571428571428572
Namogoo,7.464285714285715
Regulus Cyber,7.500000000000001
CCUREx,2.3043478260869565
Cypago Security,2.5714285714285716
Doxin,3.7826086956521747
iXDen,5.500000000000001
Wist Network,5.0
ReviveSec,1.956521739130435
Sternum,7.000000000000001
Cyabra,5.571428571428572
BATM,5.478260869565218
MinerEye,5.964285714285714
Enquantum,2.5714285714285716
SecBI,7.464285714285715
Securepush,4.821428571428572
Brandefender,2.5652173913043477
Kazuar,5.913043478260871
IntSights,5.964285714285714
Claroty,7.464285714285715
CYREBRO,7.750000000000002
Assac Networks,5.678571428571429
Cycode,4.214285714285714
