Company Name,FOUNDED,BUSINESS MODEL,EMPLOYEES,FUNDING STAGE,RAISED,PRODUCT STAGE,Funding stage,Total raised,Total rounds,Investors,Current Round,Funding in Current Round,TAGS
CyberArk,                              4/1999,"B2B, B2G",500+,Public,                 $43M,Released,Public,43M,2,3,Private Equity,$40M,"['dlp' 'threat-intelligence' 'iam' 'gdpr' 'data-protection'
 'behavior-analytics' 'monitoring' 'siem' 'cyber-security' 'compliance'
 'privileged-access-management' 'ransomware' 'network-security'
 'file-security' 'enterprise-security' 'access-control'
 'endpoint-security' 'cloud-security' 'apt' 'insider-threat'
 'risk-management']"
Nitromia,                              3/2018,B2B,1-10,Bootstrapped,,Customer development,,,,,,,"['data-protection' 'encryption' 'transactions' 'crypto' 'blockchain'
 'cyber-security' 'fintech' 'web-platform' 'privacy-protection'
 'cryptography']"
Matchbox Streaming,                              1/2013,B2C,1-10,Revenue Financed,,Released,,,,,,,"['privacy-protection' 'cyber-security' 'streaming' 'routers' 'vpn'
 'telecommunication-equipment' 'data-protection' 'encryption']"
GlobeKeeper,                              8/2014,"B2B, B2C, B2G",11-50,Seed,                 $2.45M,Released,Seed,2.45M,5,4,Undisclosed Round,,"['mobile-applications' 'cyber-security' 'collaboration' 'data-protection'
 'vpn' 'public-safety' 'p2p' 'telecommunication' 'iot' 'mobile-security'
 'command-and-control' 'emergency-medical-services' 'encryption'
 'communication-protocols' 'location-based' 'coronavirus']"
Votiro Cybersec,                              1/2010,"B2B, B2G",11-50,ROUND A,                 $14M,Released,A,14M,4,3,A Round,$8M,"['spear-phishing' 'enterprise-security' 'cyber-security'
 'security-gateway' 'big-data-analytics' 'saas' 'file-security'
 'threat-intelligence' 'cdr' 'telecommunication' 'hardware' 'zero-day'
 'network-security' 'apt']"
Argon Security,                              10/2020,B2B,11-50,Seed,                 $4M,Released,Seed,4M,1,6,Seed,$4M,"['enterprise-solutions' 'ci-cd' 'data-protection' 'risk-assesments'
 'cyber-security' 'devops' 'supply-chain']"
Comsec,             1987,"B2B, B2G",201-500,Public,,Released,,,,,,,"['risk-management' 'anti-fraud' 'data-protection' 'cyber-security' 'ddos'
 'software-applications' 'enterprise-security' 'security' 'compliance'
 'it-security']"
Crusoe Security,                              3/2016,"B2B, B2G",1-10,Bootstrapped,,Released,,,,,,,"['enterprise-security' 'safe-browsing' 'compliance' 'network-security'
 'website-security' 'isolation' 'endpoint-security' 'cyber-security'
 'virtualization' 'malware']"
Varonis Systems,                              1/2005,B2B,500+,Public,                 $28.79M,Released,Public,28.79M,5,4,Undisclosed Round,$1M,"['insider-threat' 'gdpr' 'data-migration' 'data-protection'
 'orchestration' 'ransomware' 'big-data-analytics' 'grc' 'compliance'
 'threat-detection' 'dlp' 'exfiltration-prevention' 'uba' 'cyber-security'
 'enterprise-security' 'file-security' 'behavior-analytics'
 'data-governance']"
ARMO,                              1/2018,B2B,11-50,Seed,                 $4.5M,Released,Seed,4.5M,1,1,Seed,$4.5M,"['enterprise-solutions' 'authentication' 'security' 'kubernetes'
 'hybrid-cloud' 'enterprise-security' 'application-security'
 'data-protection' 'encryption' 'cyber-security' 'cloud-security']"
Komodo Consulting,                              1/2011,"B2B, B2G",1-10,Revenue Financed,,Released,,,,,,,"['apt' 'threat-intelligence' 'ddos' 'deep-web' 'penetration-tests'
 'risk-assesments' 'mobile-security' 'big-data-analytics'
 'application-security' 'incident-response' 'cyber-intelligence'
 'vulnerability-management' 'dlp' 'network-security' 'cyber-security']"
BigID,                              1/2016,B2B,201-500,ROUND C+,                 $246.1M,Released,C+,246.1M,7,13,D Round,$30M,"['risk-management' 'enterprise-security' 'cyber-security'
 'data-governance' 'patent-pending' 'unicorn' 'compliance' 'dlp'
 'data-protection' 'enterprise-solutions' 'identity-verification'
 'privacy-protection' 'gdpr']"
enSilo,                              8/2014,B2B,51-200,ROUND B,                 $57M,Released,B,57M,5,6,B Round,$23M,"['data-protection' 'orchestration' 'exfiltration-prevention' 'ransomware'
 'edr' 'endpoint-security' 'enterprise-security' 'forensics'
 'network-security' 'malware' 'cyber-security']"
CyberNite,                              1/2020,B2B,1-10,Bootstrapped,,Beta,,,,,,,['cyber-security']
